Date,Open,High,Low,Close,Volume,Adj Close
2013-03-01,27.05,28.12,26.81,27.78,54049200,27.78
2013-02-28,26.84,27.30,26.34,27.25,83027800,27.25
2013-02-27,27.34,27.34,26.63,26.87,44319700,26.87
2013-02-26,27.36,27.46,26.70,27.39,31611700,27.39
2013-02-25,27.16,27.64,27.15,27.27,34652000,27.27
2013-02-22,27.62,27.63,26.82,27.13,36350200,27.13
2013-02-21,28.28,28.55,27.15,27.28,49642300,27.28
2013-02-20,28.92,29.05,28.33,28.46,42098200,28.46
2013-02-19,28.23,29.08,28.12,28.93,49396400,28.93
2013-02-15,28.52,28.75,28.09,28.32,33109300,28.32
2013-02-14,28.02,28.63,28.01,28.50,35615800,28.50
2013-02-13,27.36,28.32,27.31,27.91,50164000,27.91
2013-02-12,27.67,28.16,27.10,27.37,93447800,27.37
2013-02-11,28.61,28.68,28.04,28.26,37361800,28.26
2013-02-08,28.89,29.17,28.51,28.55,37708800,28.55
2013-02-07,29.11,29.15,28.27,28.65,34540100,28.65
2013-02-06,28.74,29.29,28.66,29.05,38375900,29.05
2013-02-05,28.26,28.96,28.04,28.64,47948200,28.64
2013-02-04,29.06,29.20,28.01,28.11,92362200,28.11
2013-02-01,31.01,31.02,29.63,29.73,85856700,29.73
2013-01-31,29.15,31.47,28.74,30.98,190744900,30.98
2013-01-30,30.98,31.49,30.88,31.24,87682100,31.24
2013-01-29,32.00,32.07,30.71,30.79,72976500,30.79
2013-01-28,31.88,32.51,31.81,32.47,59682500,32.47
2013-01-25,31.41,31.93,31.13,31.54,54363600,31.54
2013-01-24,31.27,31.49,30.81,31.08,43845100,31.08
2013-01-23,31.10,31.50,30.80,30.82,48899800,30.82
2013-01-22,29.75,30.89,29.74,30.73,55243300,30.73
2013-01-18,30.31,30.44,29.27,29.66,49631500,29.66
2013-01-17,30.08,30.42,30.03,30.14,40256700,30.14
2013-01-16,30.21,30.35,29.53,29.85,75332700,29.85
2013-01-15,30.64,31.71,29.88,30.10,173242600,30.10
2013-01-14,32.08,32.21,30.62,30.95,98892800,30.95
2013-01-11,31.28,31.96,31.10,31.72,89598000,31.72
2013-01-10,30.60,31.45,30.28,31.30,95316400,31.30
2013-01-09,29.67,30.60,29.49,30.59,104787700,30.59
2013-01-08,29.51,29.60,28.86,29.06,45871300,29.06
2013-01-07,28.69,29.79,28.65,29.42,83781800,29.42
2013-01-04,28.01,28.93,27.83,28.76,72715400,28.76
2013-01-03,27.88,28.47,27.59,27.77,63140600,27.77
2013-01-02,27.44,28.18,27.42,28.00,69846400,28.00
