Date,Open,High,Low,Close,Volume,Adj Close
2013-04-19,25.62,25.96,25.33,25.73,20369900,25.73
2013-04-18,26.82,26.82,25.15,25.69,39028400,25.69
2013-04-17,26.65,27.20,26.39,26.63,26418700,26.63
2013-04-16,26.81,27.11,26.40,26.92,27365900,26.92
2013-04-15,27.16,27.48,26.36,26.52,30222500,26.52
2013-04-12,28.00,28.00,27.24,27.40,28682800,27.40
2013-04-11,27.48,28.10,27.25,28.02,33324600,28.02
2013-04-10,27.01,27.84,26.90,27.57,45913100,27.57
2013-04-09,26.58,26.89,26.42,26.59,21288100,26.59
2013-04-08,27.19,27.20,26.63,26.85,27241100,26.85
2013-04-05,26.86,27.80,26.61,27.39,64503500,27.39
2013-04-04,26.62,27.23,26.11,27.07,81955300,27.07
2013-04-03,25.83,26.39,25.70,26.25,48152800,26.25
2013-04-02,25.77,26.12,25.30,25.42,35126700,25.42
2013-04-01,25.63,25.89,25.28,25.53,22220100,25.53
2013-03-28,26.09,26.17,25.52,25.58,28574400,25.58
2013-03-27,25.00,26.28,24.72,26.09,52267200,26.09
2013-03-26,25.08,25.48,25.03,25.21,26957200,25.21
2013-03-25,25.75,25.80,25.08,25.13,39171200,25.13
2013-03-22,25.80,26.01,25.63,25.73,17662600,25.73
2013-03-21,25.66,26.11,25.56,25.74,24336100,25.74
2013-03-20,26.68,26.69,25.78,25.86,44006500,25.86
2013-03-19,26.53,26.90,26.21,26.55,25254200,26.55
2013-03-18,26.37,26.79,25.78,26.49,26653700,26.49
2013-03-15,27.03,27.06,26.56,26.65,31597400,26.65
2013-03-14,27.10,27.43,26.83,27.04,27646400,27.04
2013-03-13,27.62,27.65,26.92,27.08,39619500,27.08
2013-03-12,28.10,28.32,27.60,27.83,27569600,27.83
2013-03-11,28.01,28.64,27.83,28.14,35642100,28.14
2013-03-08,28.43,28.47,27.73,27.96,44198900,27.96
2013-03-07,27.57,28.68,27.47,28.58,74540200,28.58
2013-03-06,28.10,28.13,27.35,27.45,33532600,27.45
2013-03-05,27.88,28.18,27.21,27.52,40622200,27.52
2013-03-04,27.76,28.06,27.44,27.72,32400700,27.72
2013-03-01,27.05,28.12,26.81,27.78,54064800,27.78
2013-02-28,26.84,27.30,26.34,27.25,83027800,27.25
2013-02-27,27.34,27.34,26.63,26.87,44319700,26.87
2013-02-26,27.36,27.46,26.70,27.39,31611700,27.39
2013-02-25,27.16,27.64,27.15,27.27,34652000,27.27
2013-02-22,27.62,27.63,26.82,27.13,36350200,27.13
2013-02-21,28.28,28.55,27.15,27.28,49642300,27.28
2013-02-20,28.92,29.05,28.33,28.46,42098200,28.46
2013-02-19,28.23,29.08,28.12,28.93,49396400,28.93
2013-02-15,28.52,28.75,28.09,28.32,33109300,28.32
2013-02-14,28.02,28.63,28.01,28.50,35615800,28.50
2013-02-13,27.36,28.32,27.31,27.91,50164000,27.91
