Date,Open,High,Low,Close,Volume,Adj Close
2013-03-01,20.79,21.19,20.66,21.03,45695700,21.03
2013-02-28,20.91,21.08,20.82,20.88,34808000,20.88
2013-02-27,20.60,21.04,20.51,20.93,46966600,20.93
2013-02-26,20.49,20.85,20.41,20.58,67247100,20.58
2013-02-25,20.57,20.65,20.23,20.23,41525600,20.23
2013-02-22,20.32,20.49,20.10,20.42,34534800,20.42
2013-02-21,20.75,20.76,20.12,20.25,60754500,20.25
2013-02-20,21.09,21.10,20.70,20.73,46119800,20.73
2013-02-19,21.18,21.21,21.06,21.09,31061600,21.09
2013-02-15,21.23,21.30,20.99,21.12,33809100,21.12
2013-02-14,21.13,21.28,21.06,21.23,35262200,21.23
2013-02-13,21.22,21.30,21.15,21.25,21267200,21.25
2013-02-12,21.03,21.25,20.99,21.19,28391400,21.19
2013-02-11,21.00,21.06,20.92,21.03,18897200,21.03
2013-02-08,20.90,21.09,20.88,21.00,28150100,21.00
2013-02-07,20.97,20.97,20.70,20.81,41015200,20.81
2013-02-06,21.16,21.20,20.91,20.99,32361000,20.99
2013-02-05,21.14,21.33,21.06,21.18,30076500,21.18
2013-02-04,21.30,21.38,21.15,21.16,38345600,20.93
2013-02-01,21.19,21.36,21.09,21.36,31867100,21.13
2013-01-31,21.30,21.32,21.02,21.04,36534100,20.82
2013-01-30,21.29,21.46,21.22,21.37,34151300,21.14
2013-01-29,21.09,21.30,21.01,21.28,105703100,21.05
2013-01-28,21.01,21.09,20.99,21.05,105398300,20.83
2013-01-25,21.04,21.07,20.88,20.96,107632800,20.74
2013-01-24,21.10,21.18,20.93,20.95,58396800,20.73
2013-01-23,21.20,21.22,21.04,21.11,42432300,20.89
2013-01-22,21.28,21.29,21.03,21.17,51127400,20.94
2013-01-18,21.36,21.44,21.03,21.25,143760400,21.02
2013-01-17,22.12,23.06,22.11,22.68,101020600,22.44
2013-01-16,21.91,22.20,21.85,22.11,36763700,21.87
2013-01-15,21.95,22.13,21.78,21.88,33990300,21.65
2013-01-14,21.98,22.13,21.75,22.00,35724500,21.77
2013-01-11,21.80,22.07,21.77,22.00,44944700,21.77
2013-01-10,21.61,21.82,21.53,21.80,44621600,21.57
2013-01-09,21.22,21.47,21.20,21.45,34290000,21.22
2013-01-08,21.23,21.56,21.02,21.09,48672000,20.87
2013-01-07,21.28,21.45,21.18,21.25,36352100,21.02
2013-01-04,21.36,21.39,21.05,21.16,30142500,20.93
2013-01-03,21.40,21.48,21.14,21.32,41054100,21.09
2013-01-02,21.15,21.38,21.05,21.38,47623000,21.15
