Date,Open,High,Low,Close,Volume,Adj Close
2013-03-01,27.72,27.98,27.52,27.95,34849700,27.95
2013-02-28,27.88,27.97,27.74,27.80,35840200,27.80
2013-02-27,27.42,28.00,27.33,27.81,36394700,27.81
2013-02-26,27.38,27.60,27.34,27.37,49923300,27.37
2013-02-25,27.97,28.05,27.37,27.37,48011800,27.37
2013-02-22,27.68,27.76,27.48,27.76,31425900,27.76
2013-02-21,27.74,27.74,27.23,27.49,49078500,27.49
2013-02-20,28.13,28.20,27.83,27.87,44110200,27.87
2013-02-19,27.88,28.09,27.80,28.05,38781400,28.05
2013-02-15,28.04,28.16,27.88,28.01,49650900,27.78
2013-02-14,27.92,28.06,27.87,28.04,32663200,27.81
2013-02-13,27.93,28.11,27.88,28.03,41715600,27.80
2013-02-12,27.88,28.00,27.75,27.88,35990900,27.65
2013-02-11,27.65,27.92,27.50,27.86,32247700,27.63
2013-02-08,27.35,27.71,27.31,27.55,33318500,27.32
2013-02-07,27.35,27.39,27.10,27.28,38028300,27.06
2013-02-06,27.38,27.54,27.25,27.34,41889600,27.12
2013-02-05,27.62,27.66,27.36,27.50,35410400,27.27
2013-02-04,27.87,28.02,27.42,27.44,50540000,27.21
2013-02-01,27.67,28.05,27.55,27.93,55565900,27.70
2013-01-31,27.79,27.97,27.40,27.45,50530000,27.22
2013-01-30,28.01,28.19,27.76,27.85,43580500,27.62
2013-01-29,27.82,28.13,27.60,28.01,49242600,27.78
2013-01-28,28.01,28.23,27.76,27.91,56056500,27.68
2013-01-25,27.58,28.23,27.39,27.88,81847700,27.65
2013-01-24,27.70,28.07,27.47,27.63,101739300,27.40
2013-01-23,27.20,27.64,27.20,27.61,50387700,27.38
2013-01-22,27.30,27.45,27.00,27.15,58650600,26.93
2013-01-18,27.10,27.29,27.04,27.25,52167700,27.03
2013-01-17,27.19,27.47,27.06,27.25,51685900,27.03
2013-01-16,27.15,27.23,27.01,27.04,41077400,26.82
2013-01-15,26.83,27.29,26.83,27.21,48244500,26.99
2013-01-14,26.90,27.08,26.76,26.89,48324400,26.67
2013-01-11,26.49,26.93,26.28,26.83,55512100,26.61
2013-01-10,26.65,26.98,26.29,26.46,71431300,26.24
2013-01-09,26.72,26.75,26.56,26.70,49047900,26.48
2013-01-08,26.75,26.79,26.46,26.55,44703100,26.33
2013-01-07,26.77,26.88,26.64,26.69,37110400,26.47
2013-01-04,27.27,27.34,26.73,26.74,52521100,26.52
2013-01-03,27.63,27.65,27.16,27.25,48294400,27.03
2013-01-02,27.25,27.73,27.15,27.62,52899300,27.39
