Date,Open,High,Low,Close,Volume,Adj Close
2013-04-19,258.16,262.88,257.50,260.32,2602500,260.32
2013-04-18,266.81,266.99,256.60,259.42,3137600,259.42
2013-04-17,270.80,270.85,264.25,267.40,3135100,267.40
2013-04-16,269.31,272.80,268.06,272.34,2137200,272.34
2013-04-15,271.08,275.12,267.10,267.72,3326000,267.72
2013-04-12,270.12,273.27,267.02,272.87,2866300,272.87
2013-04-11,264.74,270.97,264.74,269.85,3090500,269.85
2013-04-10,261.78,265.98,259.32,264.77,2322500,264.77
2013-04-09,258.85,262.61,257.00,261.14,2156600,261.14
2013-04-08,255.92,259.68,255.63,258.95,2295600,258.95
2013-04-05,255.72,256.18,253.67,255.48,2557400,255.48
2013-04-04,259.23,260.41,256.12,259.08,1964400,259.08
2013-04-03,262.12,263.67,257.75,259.03,2413800,259.03
2013-04-02,262.40,265.89,260.55,263.32,2631100,263.32
2013-04-01,266.98,267.40,261.01,261.61,2524800,261.61
2013-03-28,265.82,267.38,264.06,266.49,2473700,266.49
2013-03-27,258.75,265.93,257.90,265.30,2874900,265.30
2013-03-26,257.05,261.48,256.28,260.31,2421000,260.31
2013-03-25,258.58,259.43,254.50,256.02,2513900,256.02
2013-03-22,254.55,257.77,252.07,257.75,3124600,257.75
2013-03-21,256.11,257.00,252.68,253.39,2806400,253.39
2013-03-20,258.05,259.76,254.55,257.28,2738900,257.28
2013-03-19,258.40,259.50,252.62,256.41,3738500,256.41
2013-03-18,259.30,261.49,257.12,257.89,2720200,257.89
2013-03-15,264.98,267.26,260.05,261.82,4865900,261.82
2013-03-14,269.67,270.00,263.53,265.74,5226700,265.74
2013-03-13,275.24,276.50,272.64,275.10,1884200,275.10
2013-03-12,271.00,277.40,270.36,274.13,3246200,274.13
2013-03-11,273.43,273.99,270.40,271.24,1904900,271.24
2013-03-08,275.00,275.44,271.50,274.19,1879800,274.19
2013-03-07,274.10,274.80,271.85,273.88,1939000,273.88
2013-03-06,275.76,276.49,271.83,273.79,2050700,273.79
2013-03-05,274.00,276.68,269.99,275.59,3686200,275.59
2013-03-04,265.36,273.30,264.14,273.11,3453000,273.11
2013-03-01,263.27,266.60,261.04,265.74,2957000,265.74
2013-02-28,261.81,267.00,260.63,264.27,2667200,264.27
2013-02-27,259.40,265.83,256.86,263.25,2908100,263.25
2013-02-26,260.89,262.04,255.73,259.36,3348600,259.36
2013-02-25,266.94,268.69,259.65,259.87,3032400,259.87
2013-02-22,266.62,267.11,261.61,265.42,3124800,265.42
2013-02-21,265.12,269.48,263.25,265.94,3637400,265.94
2013-02-20,270.20,274.30,266.37,266.41,3528900,266.41
2013-02-19,265.91,270.11,264.50,269.75,2854200,269.75
2013-02-15,267.63,268.92,263.11,265.09,3979900,265.09
2013-02-14,267.37,270.65,265.40,269.24,3463000,269.24
2013-02-13,261.53,269.96,260.30,269.47,5293000,269.47
