Date,Open,High,Low,Close,Volume,Adj Close
2013-04-19,22.27,22.45,22.21,22.44,49101000,22.44
2013-04-18,22.05,22.40,21.90,22.24,76237300,22.24
2013-04-17,21.79,22.14,21.57,21.93,79461200,21.93
2013-04-16,21.47,21.93,21.42,21.92,64645700,21.92
2013-04-15,21.50,21.71,21.36,21.38,38448800,21.38
2013-04-12,21.74,21.80,21.47,21.68,34028000,21.68
2013-04-11,21.73,21.91,21.49,21.83,59295600,21.83
2013-04-10,21.72,22.42,21.71,22.26,67071400,22.26
2013-04-09,21.11,21.89,21.06,21.75,61518700,21.75
2013-04-08,20.89,21.09,20.80,21.09,34213000,21.09
2013-04-05,20.94,20.97,20.75,20.94,36721600,20.94
2013-04-04,21.05,21.19,20.96,21.14,28702500,21.14
2013-04-03,21.45,21.50,21.01,21.05,36599600,21.05
2013-04-02,21.52,21.58,21.32,21.46,28166700,21.46
2013-04-01,21.67,21.70,21.32,21.43,33718100,21.43
2013-03-28,21.85,21.91,21.60,21.84,33336700,21.84
2013-03-27,21.62,21.98,21.51,21.83,45370900,21.83
2013-03-26,21.28,21.77,21.25,21.77,39548500,21.77
2013-03-25,21.39,21.42,21.08,21.15,32740700,21.15
2013-03-22,21.15,21.34,21.08,21.33,30660500,21.33
2013-03-21,21.01,21.14,20.90,21.04,32607200,21.04
2013-03-20,21.31,21.36,21.11,21.18,29873400,21.18
2013-03-19,21.26,21.36,21.01,21.14,42546000,21.14
2013-03-18,21.24,21.49,21.19,21.26,35154400,21.26
2013-03-15,21.61,21.70,21.27,21.38,52949600,21.38
2013-03-14,21.74,21.85,21.51,21.65,28836500,21.65
2013-03-13,21.56,21.70,21.46,21.66,24617400,21.66
2013-03-12,21.66,21.73,21.45,21.64,28617300,21.64
2013-03-11,21.53,21.74,21.28,21.69,42148200,21.69
2013-03-08,21.95,22.04,21.47,21.58,44990500,21.58
2013-03-07,21.80,21.99,21.75,21.89,42380000,21.89
2013-03-06,21.53,21.79,21.51,21.75,37188900,21.75
2013-03-05,21.34,21.59,21.30,21.51,38796400,21.51
2013-03-04,21.16,21.29,20.96,21.27,47545800,21.27
2013-03-01,20.79,21.19,20.66,21.03,45695700,21.03
2013-02-28,20.91,21.08,20.82,20.88,34808000,20.88
2013-02-27,20.60,21.04,20.51,20.93,46966600,20.93
2013-02-26,20.49,20.85,20.41,20.58,67247100,20.58
2013-02-25,20.57,20.65,20.23,20.23,41525600,20.23
2013-02-22,20.32,20.49,20.10,20.42,34534800,20.42
2013-02-21,20.75,20.76,20.12,20.25,60754500,20.25
2013-02-20,21.09,21.10,20.70,20.73,46119800,20.73
2013-02-19,21.18,21.21,21.06,21.09,31061600,21.09
2013-02-15,21.23,21.30,20.99,21.12,33809100,21.12
2013-02-14,21.13,21.28,21.06,21.23,35262200,21.23
2013-02-13,21.22,21.30,21.15,21.25,21267200,21.25
