Date,Open,High,Low,Close,Volume,Adj Close
2013-04-19,29.62,30.24,29.61,29.77,99790700,29.77
2013-04-18,28.95,28.98,28.50,28.79,56841500,28.79
2013-04-17,28.85,29.04,28.60,28.83,52840700,28.83
2013-04-16,28.90,29.14,28.70,28.97,52797300,28.97
2013-04-15,28.65,28.98,28.51,28.69,56332900,28.69
2013-04-12,28.85,29.02,28.66,28.79,62886300,28.79
2013-04-11,29.10,29.20,28.73,28.94,130907100,28.94
2013-04-10,29.57,30.32,29.52,30.28,71058300,30.28
2013-04-09,28.73,29.82,28.68,29.61,77733800,29.61
2013-04-08,28.73,28.73,28.47,28.59,34759500,28.59
2013-04-05,28.22,28.78,28.11,28.70,50927300,28.70
2013-04-04,28.39,28.61,28.27,28.60,45263200,28.60
2013-04-03,28.75,28.95,28.54,28.56,35062800,28.56
2013-04-02,28.59,28.85,28.52,28.80,28456500,28.80
2013-04-01,28.64,28.66,28.36,28.61,29201100,28.61
2013-03-28,28.32,28.66,28.26,28.61,55453800,28.61
2013-03-27,28.14,28.45,28.08,28.37,36047400,28.37
2013-03-26,28.24,28.34,28.11,28.16,27824300,28.16
2013-03-25,28.30,28.35,27.96,28.16,44154000,28.16
2013-03-22,28.19,28.34,28.10,28.25,28689600,28.25
2013-03-21,28.11,28.36,28.05,28.11,34233200,28.11
2013-03-20,28.34,28.49,28.18,28.32,35447800,28.32
2013-03-19,28.12,28.22,28.03,28.18,51901600,28.18
2013-03-18,27.88,28.28,27.81,28.10,44809400,28.10
2013-03-15,28.03,28.16,27.98,28.04,92710300,28.04
2013-03-14,28.00,28.16,27.93,28.14,55914800,28.14
2013-03-13,27.87,28.02,27.75,27.92,29093400,27.92
2013-03-12,27.84,27.95,27.64,27.91,39255200,27.91
2013-03-11,27.94,27.97,27.67,27.87,36627500,27.87
2013-03-08,28.25,28.33,27.96,28.00,37667800,28.00
2013-03-07,28.11,28.28,28.01,28.14,29196700,28.14
2013-03-06,28.21,28.23,27.78,28.09,51448500,28.09
2013-03-05,28.29,28.54,28.16,28.35,41432200,28.35
2013-03-04,27.85,28.15,27.70,28.15,38157500,28.15
2013-03-01,27.72,27.98,27.52,27.95,34849700,27.95
2013-02-28,27.88,27.97,27.74,27.80,35840200,27.80
2013-02-27,27.42,28.00,27.33,27.81,36394700,27.81
2013-02-26,27.38,27.60,27.34,27.37,49923300,27.37
2013-02-25,27.97,28.05,27.37,27.37,48011800,27.37
2013-02-22,27.68,27.76,27.48,27.76,31425900,27.76
2013-02-21,27.74,27.74,27.23,27.49,49078500,27.49
2013-02-20,28.13,28.20,27.83,27.87,44110200,27.87
2013-02-19,27.88,28.09,27.80,28.05,38781400,28.05
2013-02-15,28.04,28.16,27.88,28.01,49650900,27.78
2013-02-14,27.92,28.06,27.87,28.04,32663200,27.81
2013-02-13,27.93,28.11,27.88,28.03,41715600,27.80
